dataset,abs_readability_diff,bertscore,meteor,abs_sentiment_diff,abs_subjectivity_diff,data,overall_score
0_unmet,0.0,0.4109718900470377,0.26021007700092597,0.907007625747518,0.9142604594318544,real,0.4984900104454672
1_unmet,0.38145640111333934,0.3918363001859159,0.2131945438999315,0.8800667685453291,0.8189617677556278,real,0.5371031563000287
2_unmet,0.030201350401155236,0.0,0.0,0.9856811726028626,0.3022986177168461,real,0.26363622814417276
3_unmet,0.3084517007856963,0.5007755310191715,0.2734735333866392,0.07337949993854809,0.31149373574560224,real,0.29351480017513143
0_met,0.791973974422078,0.7072387646869205,0.795197691498753,0.688670749331673,0.943232129903511,fake,0.7852626619685872
0_unmet,0.8273992885748966,0.7178156926276039,0.4332772895486802,0.0,0.0,fake,0.39569845415023613
1_met,0.9054506781186328,0.7582863178670115,0.7396195399228884,0.5458372408075264,0.846981673457107,fake,0.7592350900346332
1_unmet,0.563772148840594,1.0,0.7036296978861015,0.9562062170248941,1.0,fake,0.8447216127503179
2_met,0.9610073429533018,0.7048746941446373,0.5315867995499206,0.8223055526913621,0.6608429228999584,fake,0.736123462447836
2_unmet,0.8390018453114206,0.6015216778508985,0.48832811568976064,0.8714258329833223,0.7811456509372107,fake,0.7162846245545225
3_met,1.0,0.7543817617544797,0.7912964373135203,0.8389404652399055,0.6989477070665834,fake,0.8167132742748977
3_unmet,0.7189170506158671,0.8099873128367513,0.6825929015648947,0.9419883296989116,0.29338858859740413,fake,0.6893748366627659
4_met,0.21677756172903195,0.9973052998681621,1.0,0.801600287119977,0.4973314504246896,fake,0.7026029198283721
4_unmet,0.519321676120789,0.854418595454234,0.9940792311526532,1.0,0.5320216248678744,fake,0.77996822551911
